identifier,repaid
150000,0
150001,1
150002,1
150003,0
150004,1
150005,1
150006,0
150007,0
150008,0
150009,1
150010,0
150011,0
150012,0
150013,0
150014,1
150015,0
150016,0
150017,0
150018,0
150019,1
150020,1
150021,1
150022,0
150023,0
150024,0
150025,0
150026,0
150027,0
150028,0
150029,0
150030,1
150031,1
150032,1
150033,0
150034,0
150035,0
150036,0
150037,0
150038,1
150039,0
150040,1
150041,0
150042,1
150043,0
150044,0
150045,0
150046,0
150047,1
150048,0
150049,0
150050,0
150051,0
150052,1
150053,0
150054,0
150055,0
150056,1
150057,1
150058,0
150059,0
150060,0
150061,0
150062,0
150063,1
150064,0
150065,0
150066,1
150067,1
150068,0
150069,0
150070,0
150071,1
150072,1
150073,0
150074,1
150075,0
150076,0
150077,1
150078,0
150079,0
150080,1
150081,1
150082,0
150083,1
150084,1
150085,0
150086,0
150087,0
150088,1
150089,0
150090,1
150091,1
150092,0
150093,1
150094,1
150095,0
150096,1
150097,0
150098,0
150099,0
150100,0
150101,1
150102,1
150103,1
150104,0
150105,1
150106,0
150107,1
150108,1
150109,0
150110,1
150111,1
150112,1
150113,0
150114,1
150115,0
150116,0
150117,1
150118,1
150119,0
150120,0
150121,0
150122,0
150123,1
150124,1
150125,1
150126,0
150127,1
150128,1
150129,1
150130,0
150131,0
150132,1
150133,1
150134,1
150135,1
150136,1
150137,0
150138,0
150139,1
150140,0
150141,0
150142,0
150143,0
150144,0
150145,0
150146,1
150147,1
150148,0
150149,0
150150,0
150151,1
150152,1
150153,1
150154,0
150155,1
150156,1
150157,1
150158,0
150159,0
150160,1
150161,1
150162,0
150163,0
150164,0
150165,0
150166,0
150167,0
150168,0
150169,1
150170,0
150171,1
150172,0
150173,0
150174,0
150175,0
150176,0
150177,1
150178,0
150179,0
150180,0
150181,1
150182,1
150183,1
150184,0
150185,1
150186,0
150187,0
150188,1
150189,0
150190,1
150191,0
150192,0
150193,0
150194,0
150195,0
150196,0
150197,1
150198,1
150199,0
150200,0
150201,0
150202,0
150203,0
150204,0
150205,0
150206,1
150207,1
150208,0
150209,0
150210,0
150211,0
150212,0
