identifier,repaid
100000,1
100001,1
100002,1
100003,1
100004,1
100005,0
100006,1
100007,0
100008,1
100009,0
100010,1
100011,0
100012,1
100013,0
100014,0
100015,1
100016,0
100017,0
100018,0
100019,0
100020,0
100021,1
100022,0
100023,0
100024,1
100025,0
100026,1
100027,1
100028,0
100029,0
100030,0
100031,1
100032,1
100033,0
100034,0
100035,0
100036,0
100037,0
100038,1
100039,1
100040,1
100041,0
100042,1
100043,0
100044,1
100045,1
100046,0
100047,0
100048,1
100049,1
100050,1
100051,0
100052,0
100053,1
100054,1
100055,0
100056,1
100057,0
100058,0
100059,1
100060,0
100061,0
100062,1
100063,1
100064,1
100065,1
100066,0
100067,1
100068,1
100069,1
100070,0
100071,1
100072,1
100073,1
100074,0
100075,0
100076,0
100077,1
100078,1
100079,1
100080,1
100081,1
100082,0
100083,0
100084,0
100085,0
100086,1
100087,0
100088,0
100089,0
100090,1
100091,1
100092,1
100093,0
100094,0
100095,0
100096,0
100097,0
100098,1
100099,0
100100,0
100101,1
100102,0
100103,0
100104,1
100105,1
100106,0
100107,1
100108,0
100109,1
100110,0
100111,1
100112,1
100113,0
100114,0
100115,0
100116,1
100117,1
100118,1
100119,0
100120,1
100121,0
100122,1
100123,0
100124,0
100125,0
100126,1
100127,0
100128,0
100129,0
100130,0
100131,1
100132,1
100133,0
100134,0
100135,1
100136,0
100137,1
100138,0
100139,0
100140,0
100141,1
100142,0
100143,1
100144,0
100145,1
100146,1
100147,1
100148,1
100149,0
100150,0
100151,1
100152,0
100153,0
100154,0
100155,0
100156,1
100157,1
100158,1
100159,0
100160,0
100161,1
100162,1
100163,0
100164,0
100165,1
100166,0
100167,0
100168,0
100169,1
100170,1
100171,1
100172,1
100173,0
100174,0
100175,0
100176,0
100177,1
100178,1
100179,1
100180,1
100181,1
100182,0
100183,1
100184,1
100185,1
100186,0
100187,0
100188,1
100189,0
100190,1
100191,1
100192,1
100193,0
100194,0
100195,0
100196,1
100197,1
100198,1
100199,1
100200,1
100201,1
100202,0
100203,0
100204,1
100205,1
100206,1
100207,0
100208,1
100209,0
100210,1
100211,0
100212,0
100213,1
100214,0
100215,1
100216,1
100217,0
100218,0
100219,1
100220,1
100221,1
100222,0
100223,0
100224,1
100225,1
100226,1
100227,1
100228,1
100229,1
100230,0
100231,0
100232,1
100233,0
100234,1
100235,1
100236,1
100237,1
100238,1
100239,0
100240,0
100241,0
100242,1
100243,0
100244,1
100245,1
100246,0
100247,1
100248,0
100249,1
100250,0
100251,1
100252,1
100253,1
100254,0
100255,1
100256,1
100257,0
100258,0
100259,1
100260,0
100261,1
100262,1
100263,0
100264,1
100265,0
100266,1
100267,0
100268,1
100269,1
100270,1
100271,0
100272,0
100273,0
100274,1
100275,0
100276,0
100277,0
100278,1
100279,0
100280,0
100281,1
100282,1
100283,1
100284,0
100285,0
100286,1
100287,0
100288,0
100289,0
100290,1
100291,1
100292,1
100293,0
100294,1
100295,1
100296,0
100297,0
100298,1
100299,0
100300,1
100301,1
100302,1
100303,0
100304,0
100305,1
100306,0
100307,0
100308,1
100309,0
100310,0
100311,1
100312,0
100313,0
100314,1
100315,0
100316,1
100317,0
100318,0
100319,0
100320,1
100321,1
100322,0
100323,1
100324,1
100325,1
100326,1
100327,0
100328,1
100329,0
100330,0
100331,1
100332,0
100333,0
100334,0
100335,1
100336,1
100337,1
100338,1
100339,1
100340,0
100341,0
100342,1
100343,0
100344,1
100345,1
100346,1
100347,0
100348,1
100349,0
100350,1
100351,0
100352,1
100353,0
100354,0
100355,0
100356,0
100357,1
100358,1
100359,1
100360,0
100361,1
100362,0
100363,1
100364,0
100365,1
100366,0
100367,0
100368,1
100369,1
100370,0
100371,1
100372,1
100373,1
100374,1
100375,0
100376,0
100377,0
100378,1
100379,0
100380,1
100381,0
100382,1
100383,0
100384,0
100385,0
100386,0
100387,1
100388,0
100389,1
100390,0
100391,1
100392,0
100393,0
100394,1
100395,0
100396,0
100397,0
100398,1
100399,0
100400,1
100401,1
100402,1
100403,1
100404,1
100405,0
100406,0
100407,1
100408,1
100409,1
100410,0
100411,1
100412,1
100413,1
100414,1
100415,1
100416,1
100417,0
100418,0
100419,1
100420,0
100421,1
100422,0
100423,0
100424,1
100425,0
100426,0
100427,0
100428,1
100429,1
100430,0
100431,0
100432,0
100433,1
100434,1
100435,1
100436,1
100437,1
100438,1
100439,0
100440,0
100441,1
100442,0
100443,0
100444,0
100445,1
100446,0
100447,1
100448,0
100449,1
100450,1
100451,1
100452,1
100453,1
100454,1
100455,1
100456,1
100457,1
100458,1
100459,1
100460,1
100461,0
100462,1
100463,0
100464,1
100465,1
100466,0
100467,0
100468,1
100469,0
100470,1
100471,1
100472,1
100473,0
100474,1
100475,0
100476,0
100477,0
100478,1
100479,0
100480,1
100481,0
100482,0
100483,1
100484,0
100485,0
100486,0
100487,0
100488,0
100489,0
100490,0
100491,1
100492,1
100493,0
100494,1
100495,1
100496,0
100497,0
100498,0
100499,0
100500,1
100501,1
100502,1
100503,0
100504,0
100505,1
100506,1
100507,1
100508,1
100509,0
100510,1
100511,1
100512,0
100513,1
100514,1
100515,1
100516,1
100517,1
100518,0
100519,1
100520,1
100521,0
100522,1
100523,1
100524,1
100525,0
100526,0
100527,1
100528,1
100529,1
100530,1
100531,1
100532,0
100533,1
100534,0
100535,0
100536,0
100537,0
100538,0
100539,0
100540,0
100541,0
100542,1
100543,0
100544,0
100545,1
100546,0
100547,1
100548,0
100549,1
100550,1
100551,0
100552,1
100553,1
100554,1
100555,1
100556,1
100557,0
100558,1
100559,0
100560,0
100561,1
100562,0
100563,1
100564,0
100565,0
100566,0
100567,0
100568,1
100569,0
100570,1
100571,0
100572,0
100573,1
100574,0
100575,0
100576,0
100577,1
100578,0
100579,0
100580,0
100581,0
100582,1
100583,1
100584,0
100585,0
100586,1
100587,1
100588,0
100589,0
100590,1
100591,1
100592,0
100593,1
100594,1
100595,1
100596,0
100597,1
100598,0
100599,0
100600,1
100601,1
100602,1
100603,1
100604,1
100605,1
100606,0
100607,0
100608,0
100609,1
100610,1
100611,1
100612,0
100613,0
100614,0
100615,0
100616,0
100617,1
100618,1
100619,0
100620,1
100621,0
100622,0
100623,1
100624,1
100625,1
100626,0
100627,0
100628,0
100629,1
100630,0
100631,1
100632,0
100633,1
100634,1
100635,1
100636,1
100637,0
100638,0
100639,1
100640,1
100641,1
100642,1
100643,1
100644,0
100645,0
100646,1
100647,1
100648,1
100649,0
100650,1
100651,1
100652,0
100653,1
100654,1
100655,1
100656,0
100657,0
100658,1
100659,1
100660,0
100661,0
100662,0
100663,1
100664,0
100665,0
100666,1
100667,0
100668,1
100669,1
100670,0
100671,1
100672,0
100673,0
100674,1
100675,0
100676,1
100677,1
100678,1
100679,0
100680,1
100681,1
100682,1
100683,0
100684,1
100685,1
100686,0
100687,1
100688,1
100689,0
100690,1
100691,0
100692,0
100693,0
100694,1
100695,1
100696,0
100697,0
100698,0
100699,0
100700,0
100701,1
100702,1
100703,0
100704,0
100705,1
100706,1
100707,1
100708,0
100709,1
100710,0
100711,0
100712,0
100713,1
100714,0
100715,1
100716,0
100717,1
100718,1
100719,1
100720,0
100721,0
100722,0
100723,0
100724,0
100725,1
100726,0
100727,0
100728,1
100729,1
100730,0
100731,0
100732,1
100733,1
100734,0
100735,0
100736,1
100737,0
100738,0
100739,1
100740,1
100741,0
100742,1
100743,0
100744,0
100745,1
100746,0
100747,0
100748,1
100749,0
100750,0
100751,1
100752,1
100753,1
100754,0
100755,0
100756,1
100757,0
100758,0
100759,0
100760,0
100761,0
100762,0
100763,0
100764,0
100765,0
100766,0
100767,0
100768,0
100769,1
100770,0
100771,0
100772,1
100773,0
100774,0
100775,1
100776,0
100777,0
100778,0
100779,1
100780,0
100781,1
100782,0
100783,1
100784,0
100785,1
100786,1
100787,1
100788,0
100789,1
100790,0
100791,0
100792,0
100793,0
100794,1
100795,1
100796,1
